Steady State
Sim ID,VOut Peak-Peak,VOut Average,Inductor Current Peak-Peak,Average Frequency
2,12.20 mV,4.94 V,0.82 A,346.38 kHz
1,8.57 mV,5.07 V,0.84 A,346.33 kHz
